GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0005046	KDEL sequence binding	1	1	0.02	0.01926	1	MF
GO:0003872	6-phosphofructokinase activity	1	1	0.02	0.01926	1	MF
GO:0042392	sphingosine-1-phosphate phosphatase acti...	1	1	0.02	0.01926	1	MF
GO:0004873	asialoglycoprotein receptor activity	1	1	0.02	0.01926	1	MF
GO:1902379	chemoattractant activity involved in axo...	1	1	0.02	0.01926	1	MF
GO:1904454	ubiquitin-specific protease activity inv...	1	1	0.02	0.01926	1	MF
GO:0052907	23S rRNA (adenine(1618)-N(6))-methyltran...	1	1	0.02	0.01926	1	MF
GO:0015037	peptide disulfide oxidoreductase activit...	12	2	0.23	0.02145	1	MF
GO:0051087	chaperone binding	113	6	2.18	0.02173	1	MF
GO:0015284	fructose uniporter activity	2	1	0.04	0.03816	1	MF
GO:0005134	interleukin-2 receptor binding	2	1	0.04	0.03816	1	MF
GO:0038085	vascular endothelial growth factor bindi...	2	1	0.04	0.03816	1	MF
GO:0004334	fumarylacetoacetase activity	2	1	0.04	0.03816	1	MF
GO:0001571	non-tyrosine kinase fibroblast growth fa...	2	1	0.04	0.03816	1	MF
GO:0017095	heparan sulfate 6-O-sulfotransferase act...	2	1	0.04	0.03816	1	MF
GO:0099038	ceramide-translocating ATPase activity	2	1	0.04	0.03816	1	MF
GO:0008426	protein kinase C inhibitor activity	2	1	0.04	0.03816	1	MF
GO:0008449	N-acetylglucosamine-6-sulfatase activity	2	1	0.04	0.03816	1	MF
GO:0004509	steroid 21-monooxygenase activity	2	1	0.04	0.03816	1	MF
GO:0015574	trehalose transmembrane transporter acti...	2	1	0.04	0.03816	1	MF
GO:0030984	kininogen binding	2	1	0.04	0.03816	1	MF
GO:0048407	platelet-derived growth factor binding	2	1	0.04	0.03816	1	MF
GO:0005354	galactose transmembrane transporter acti...	2	1	0.04	0.03816	1	MF
GO:0005001	transmembrane receptor protein tyrosine ...	18	2	0.35	0.04612	1	MF
GO:0003756	protein disulfide isomerase activity	18	2	0.35	0.04612	1	MF
GO:0005088	Ras guanyl-nucleotide exchange factor ac...	137	6	2.64	0.04878	1	MF
GO:0015026	coreceptor activity	24	4	0.46	0.04985	1	MF
GO:0032036	myosin heavy chain binding	19	2	0.37	0.05091	1	MF
GO:0046983	protein dimerization activity	927	25	17.86	0.05115	1	MF
GO:0042277	peptide binding	178	8	3.43	0.05337	1	MF
GO:1904288	BAT3 complex binding	3	1	0.06	0.05669	1	MF
GO:0031715	C5L2 anaphylatoxin chemotactic receptor ...	3	1	0.06	0.05669	1	MF
GO:0016422	mRNA (2'-O-methyladenosine-N6-)-methyltr...	3	1	0.06	0.05669	1	MF
GO:0005212	structural constituent of eye lens	3	1	0.06	0.05669	1	MF
GO:0017018	myosin phosphatase activity	3	1	0.06	0.05669	1	MF
GO:0016524	latrotoxin receptor activity	3	1	0.06	0.05669	1	MF
GO:0032093	SAM domain binding	21	2	0.4	0.06099	1	MF
GO:0050840	extracellular matrix binding	27	4	0.52	0.06491	1	MF
GO:0005544	calcium-dependent phospholipid binding	22	2	0.42	0.06626	1	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	22	2	0.42	0.06626	1	MF
GO:0042562	hormone binding	82	4	1.58	0.07323	1	MF
GO:0042288	MHC class I protein binding	4	1	0.08	0.07487	1	MF
GO:0055056	D-glucose transmembrane transporter acti...	4	1	0.08	0.07487	1	MF
GO:0070891	lipoteichoic acid binding	4	1	0.08	0.07487	1	MF
GO:0030548	acetylcholine receptor regulator activit...	4	1	0.08	0.07487	1	MF
GO:0097161	DH domain binding	4	1	0.08	0.07487	1	MF
GO:0008195	phosphatidate phosphatase activity	4	1	0.08	0.07487	1	MF
GO:0090554	phosphatidylcholine-translocating ATPase...	4	1	0.08	0.07487	1	MF
GO:0090555	phosphatidylethanolamine-translocating A...	4	1	0.08	0.07487	1	MF
GO:0005351	carbohydrate:proton symporter activity	4	1	0.08	0.07487	1	MF
GO:0008381	mechanosensitive ion channel activity	4	1	0.08	0.07487	1	MF
GO:0015250	water channel activity	4	1	0.08	0.07487	1	MF
GO:0031625	ubiquitin protein ligase binding	272	9	5.24	0.07953	1	MF
GO:0019955	cytokine binding	54	3	1.04	0.08547	1	MF
GO:0015279	store-operated calcium channel activity	5	1	0.1	0.0927	1	MF
GO:0004322	ferroxidase activity	5	1	0.1	0.0927	1	MF
GO:0042030	ATPase inhibitor activity	5	1	0.1	0.0927	1	MF
GO:0004100	chitin synthase activity	5	1	0.1	0.0927	1	MF
GO:0070002	glutamic-type peptidase activity	5	1	0.1	0.0927	1	MF
GO:1990405	protein antigen binding	5	1	0.1	0.0927	1	MF
GO:0031419	cobalamin binding	5	1	0.1	0.0927	1	MF
GO:0042577	lipid phosphatase activity	5	1	0.1	0.0927	1	MF
GO:0001786	phosphatidylserine binding	29	2	0.56	0.10684	1	MF
GO:0097108	hedgehog family protein binding	6	1	0.12	0.11019	1	MF
GO:0048185	activin binding	6	1	0.12	0.11019	1	MF
GO:0070513	death domain binding	6	1	0.12	0.11019	1	MF
GO:0010461	light-activated ion channel activity	6	1	0.12	0.11019	1	MF
GO:0003810	protein-glutamine gamma-glutamyltransfer...	6	1	0.12	0.11019	1	MF
GO:0005004	GPI-linked ephrin receptor activity	6	1	0.12	0.11019	1	MF
GO:0019215	intermediate filament binding	6	1	0.12	0.11019	1	MF
GO:0008329	signaling pattern recognition receptor a...	6	1	0.12	0.11019	1	MF
GO:0030246	carbohydrate binding	120	10	2.31	0.11253	1	MF
GO:0050681	androgen receptor binding	30	2	0.58	0.11308	1	MF
GO:0070888	E-box binding	30	2	0.58	0.11308	1	MF
GO:0004623	phospholipase A2 activity	31	2	0.6	0.11942	1	MF
GO:0003779	actin binding	176	6	3.39	0.12414	1	MF
GO:0070742	C2H2 zinc finger domain binding	7	1	0.13	0.12735	1	MF
GO:0017049	GTP-Rho binding	7	1	0.13	0.12735	1	MF
GO:0035375	zymogen binding	7	1	0.13	0.12735	1	MF
GO:0005149	interleukin-1 receptor binding	8	1	0.15	0.14417	1	MF
GO:0032422	purine-rich negative regulatory element ...	8	1	0.15	0.14417	1	MF
GO:0005528	FK506 binding	8	1	0.15	0.14417	1	MF
GO:0005043	netrin receptor activity involved in che...	8	1	0.15	0.14417	1	MF
GO:0070679	inositol 1,4,5 trisphosphate binding	8	1	0.15	0.14417	1	MF
GO:0043208	glycosphingolipid binding	8	1	0.15	0.14417	1	MF
GO:0042731	PH domain binding	8	1	0.15	0.14417	1	MF
GO:0008970	phospholipase A1 activity	9	1	0.17	0.16068	1	MF
GO:0003943	N-acetylgalactosamine-4-sulfatase activi...	9	1	0.17	0.16068	1	MF
GO:0004064	arylesterase activity	9	1	0.17	0.16068	1	MF
GO:0005005	transmembrane-ephrin receptor activity	9	1	0.17	0.16068	1	MF
GO:0004867	serine-type endopeptidase inhibitor acti...	9	1	0.17	0.16068	1	MF
GO:0030297	transmembrane receptor protein tyrosine ...	9	1	0.17	0.16068	1	MF
GO:0008559	xenobiotic transmembrane transporting AT...	9	1	0.17	0.16068	1	MF
GO:0071074	eukaryotic initiation factor eIF2 bindin...	10	1	0.19	0.17686	1	MF
GO:0016496	substance P receptor activity	10	1	0.19	0.17686	1	MF
GO:0016497	substance K receptor activity	10	1	0.19	0.17686	1	MF
GO:0001047	core promoter binding	40	2	0.77	0.17965	1	MF
GO:0031435	mitogen-activated protein kinase kinase ...	40	2	0.77	0.17965	1	MF
GO:0005536	glucose binding	11	1	0.21	0.19274	1	MF
GO:0005338	nucleotide-sugar transmembrane transport...	12	1	0.23	0.20831	1	MF
GO:0010181	FMN binding	12	1	0.23	0.20831	1	MF
GO:0051787	misfolded protein binding	12	1	0.23	0.20831	1	MF
GO:0047134	protein-disulfide reductase activity	12	1	0.23	0.20831	1	MF
GO:0008046	axon guidance receptor activity	13	1	0.25	0.22359	1	MF
GO:0008429	phosphatidylethanolamine binding	13	1	0.25	0.22359	1	MF
GO:0001530	lipopolysaccharide binding	13	1	0.25	0.22359	1	MF
GO:0033691	sialic acid binding	14	1	0.27	0.23857	1	MF
GO:0070491	repressing transcription factor binding	49	2	0.94	0.24335	1	MF
GO:0017151	DEAD/H-box RNA helicase binding	15	1	0.29	0.25326	1	MF
GO:0005044	scavenger receptor activity	15	1	0.29	0.25326	1	MF
GO:0017080	sodium channel regulator activity	15	1	0.29	0.25326	1	MF
GO:0035613	RNA stem-loop binding	15	1	0.29	0.25326	1	MF
GO:0071837	HMG box domain binding	16	1	0.31	0.26767	1	MF
GO:0032027	myosin light chain binding	16	1	0.31	0.26767	1	MF
GO:0043130	ubiquitin binding	53	2	1.02	0.27205	1	MF
GO:0001228	DNA-binding transcription activator acti...	231	6	4.45	0.2863	1	MF
GO:0042803	protein homodimerization activity	724	20	13.95	0.30619	1	MF
GO:0001784	phosphotyrosine residue binding	19	1	0.37	0.30927	1	MF
GO:0070001	aspartic-type peptidase activity	19	1	0.37	0.30927	1	MF
GO:1990380	Lys48-specific deubiquitinase activity	19	1	0.37	0.30927	1	MF
GO:0031490	chromatin DNA binding	59	2	1.14	0.31498	1	MF
GO:0005507	copper ion binding	60	2	1.16	0.3221	1	MF
GO:0005104	fibroblast growth factor receptor bindin...	21	1	0.4	0.33568	1	MF
GO:0008061	chitin binding	21	1	0.4	0.33568	1	MF
GO:0035035	histone acetyltransferase binding	21	1	0.4	0.33568	1	MF
GO:0004629	phospholipase C activity	21	1	0.4	0.33568	1	MF
GO:0046966	thyroid hormone receptor binding	22	1	0.42	0.34851	1	MF
GO:0005385	zinc ion transmembrane transporter activ...	22	1	0.42	0.34851	1	MF
GO:0050699	WW domain binding	22	1	0.42	0.34851	1	MF
GO:0008237	metallopeptidase activity	119	7	2.29	0.353	1	MF
GO:0038023	signaling receptor activity	615	28	11.85	0.35849	1	MF
GO:0004622	lysophospholipase activity	23	1	0.44	0.3611	1	MF
GO:0001965	G-protein alpha-subunit binding	24	1	0.46	0.37344	1	MF
GO:0004977	melanocortin receptor activity	24	1	0.46	0.37344	1	MF
GO:0005112	Notch binding	24	1	0.46	0.37344	1	MF
GO:0005516	calmodulin binding	69	2	1.33	0.38509	1	MF
GO:0015280	ligand-gated sodium channel activity	25	1	0.48	0.38554	1	MF
GO:0008270	zinc ion binding	408	9	7.86	0.38714	1	MF
GO:0030492	hemoglobin binding	27	1	0.52	0.40906	1	MF
GO:0030507	spectrin binding	27	1	0.52	0.40906	1	MF
GO:1990841	promoter-specific chromatin binding	28	1	0.54	0.42048	1	MF
GO:0044389	ubiquitin-like protein ligase binding	283	9	5.45	0.42275	1	MF
GO:0017154	semaphorin receptor activity	29	1	0.56	0.43168	1	MF
GO:0015485	cholesterol binding	29	1	0.56	0.43168	1	MF
GO:0046875	ephrin receptor binding	30	1	0.58	0.44267	1	MF
GO:0001227	DNA-binding transcription repressor acti...	79	2	1.52	0.45196	1	MF
GO:0005262	calcium channel activity	89	3	1.71	0.48091	1	MF
GO:0004860	protein kinase inhibitor activity	39	2	0.75	0.51179	1	MF
GO:0070628	proteasome binding	37	1	0.71	0.51388	1	MF
GO:0048306	calcium-dependent protein binding	89	2	1.71	0.51456	1	MF
GO:0044877	protein-containing complex binding	816	27	15.72	0.54949	1	MF
GO:0042802	identical protein binding	1413	32	27.22	0.56766	1	MF
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate...	44	1	0.85	0.57605	1	MF
GO:0004857	enzyme inhibitor activity	164	11	3.16	0.5772	1	MF
GO:0046906	tetrapyrrole binding	50	2	0.96	0.58221	1	MF
GO:0046332	SMAD binding	45	1	0.87	0.58426	1	MF
GO:0005080	protein kinase C binding	46	1	0.89	0.59231	1	MF
GO:0030276	clathrin binding	47	1	0.91	0.6002	1	MF
GO:0005200	structural constituent of cytoskeleton	48	1	0.92	0.60795	1	MF
GO:0043022	ribosome binding	50	1	0.96	0.623	1	MF
GO:0070063	RNA polymerase binding	51	1	0.98	0.6303	1	MF
GO:0004930	G protein-coupled receptor activity	285	6	5.49	0.63721	1	MF
GO:0042805	actinin binding	52	1	1	0.63747	1	MF
GO:0005524	ATP binding	283	5	5.45	0.64106	1	MF
GO:0050750	low-density lipoprotein particle recepto...	53	1	1.02	0.64449	1	MF
GO:0003725	double-stranded RNA binding	53	1	1.02	0.64449	1	MF
GO:1990782	protein tyrosine kinase binding	54	1	1.04	0.65139	1	MF
GO:0004843	thiol-dependent ubiquitin-specific prote...	54	1	1.04	0.65139	1	MF
GO:0000980	RNA polymerase II distal enhancer sequen...	55	1	1.06	0.65815	1	MF
GO:0015085	calcium ion transmembrane transporter ac...	104	4	2	0.66648	1	MF
GO:0002039	p53 binding	61	1	1.18	0.69605	1	MF
GO:0005525	GTP binding	127	2	2.45	0.70685	1	MF
GO:0033613	activating transcription factor binding	63	1	1.21	0.70773	1	MF
GO:0038024	cargo receptor activity	77	3	1.48	0.71503	1	MF
GO:0044325	ion channel binding	65	1	1.25	0.71897	1	MF
GO:0060089	molecular transducer activity	650	28	12.52	0.72787	1	MF
GO:0030544	Hsp70 protein binding	70	1	1.35	0.74522	1	MF
GO:0051117	ATPase binding	71	1	1.37	0.75016	1	MF
GO:0017022	myosin binding	100	4	1.93	0.76367	1	MF
GO:0043621	protein self-association	75	1	1.44	0.76902	1	MF
GO:0009055	electron transfer activity	76	1	1.46	0.77351	1	MF
GO:0035639	purine ribonucleoside triphosphate bindi...	402	7	7.74	0.78419	1	MF
GO:0030165	PDZ domain binding	79	1	1.52	0.78647	1	MF
GO:0000981	DNA-binding transcription factor activit...	507	10	9.77	0.78699	1	MF
GO:0001882	nucleoside binding	142	2	2.74	0.79103	1	MF
GO:0032555	purine ribonucleotide binding	458	7	8.82	0.79106	1	MF
GO:0030554	adenyl nucleotide binding	333	5	6.42	0.794	1	MF
GO:0032559	adenyl ribonucleotide binding	326	5	6.28	0.79665	1	MF
GO:0015276	ligand-gated ion channel activity	101	2	1.95	0.8013	1	MF
GO:0008022	protein C-terminus binding	154	2	2.97	0.80148	1	MF
GO:0008289	lipid binding	379	9	7.3	0.8126	1	MF
GO:0019001	guanyl nucleotide binding	157	2	3.02	0.81463	1	MF
GO:0003700	DNA-binding transcription factor activit...	578	11	11.14	0.81614	1	MF
GO:0030674	protein binding, bridging	89	1	1.71	0.82456	1	MF
GO:0097367	carbohydrate derivative binding	696	30	13.41	0.82688	1	MF
GO:0019899	enzyme binding	1617	40	31.15	0.82728	1	MF
GO:0004721	phosphoprotein phosphatase activity	113	4	2.18	0.82975	1	MF
GO:0008144	drug binding	518	11	9.98	0.83301	1	MF
GO:0017076	purine nucleotide binding	471	7	9.07	0.83374	1	MF
GO:0004713	protein tyrosine kinase activity	193	11	3.72	0.83488	1	MF
GO:0032553	ribonucleotide binding	472	8	9.09	0.84295	1	MF
GO:0003729	mRNA binding	240	3	4.62	0.84643	1	MF
GO:0001085	RNA polymerase II transcription factor b...	96	1	1.85	0.84713	1	MF
GO:0019900	kinase binding	541	9	10.42	0.85218	1	MF
GO:0032550	purine ribonucleoside binding	135	2	2.6	0.85536	1	MF
GO:0019903	protein phosphatase binding	100	1	1.93	0.8587	1	MF
GO:0032561	guanyl ribonucleotide binding	154	2	2.97	0.8615	1	MF
GO:0000978	RNA polymerase II proximal promoter sequ...	213	4	4.1	0.87282	1	MF
GO:0000982	transcription factor activity, RNA polym...	221	3	4.26	0.87482	1	MF
GO:0046914	transition metal ion binding	554	14	10.67	0.87594	1	MF
GO:0017124	SH3 domain binding	111	1	2.14	0.88623	1	MF
GO:0003714	transcription corepressor activity	111	1	2.14	0.88623	1	MF
GO:0008017	microtubule binding	122	1	2.35	0.90842	1	MF
GO:0000976	transcription regulatory region sequence...	342	7	6.59	0.91342	1	MF
GO:0005096	GTPase activator activity	125	1	2.41	0.91369	1	MF
GO:0019904	protein domain specific binding	603	12	11.62	0.91663	1	MF
GO:0003682	chromatin binding	347	6	6.68	0.91865	1	MF
GO:0042393	histone binding	131	1	2.52	0.92333	1	MF
GO:0001012	RNA polymerase II regulatory region DNA ...	317	7	6.11	0.92946	1	MF
GO:0000977	RNA polymerase II regulatory region sequ...	313	7	6.03	0.93947	1	MF
GO:0046873	metal ion transmembrane transporter acti...	258	6	4.97	0.94005	1	MF
GO:0016757	transferase activity, transferring glyco...	175	2	3.37	0.94476	1	MF
GO:0000987	proximal promoter sequence-specific DNA ...	220	4	4.24	0.94574	1	MF
GO:0003924	GTPase activity	157	1	3.02	0.95417	1	MF
GO:0004842	ubiquitin-protein transferase activity	331	3	6.38	0.95723	1	MF
GO:0019901	protein kinase binding	491	7	9.46	0.96791	1	MF
GO:0098772	molecular function regulator	776	29	14.95	0.97416	1	MF
GO:0017016	Ras GTPase binding	333	7	6.42	0.97622	1	MF
GO:0003713	transcription coactivator activity	194	1	3.74	0.97803	1	MF
GO:0031267	small GTPase binding	347	7	6.68	0.9801	1	MF
GO:0044212	transcription regulatory region DNA bind...	412	8	7.94	0.98365	1	MF
GO:0001067	regulatory region nucleic acid binding	415	8	7.99	0.98368	1	MF
GO:0030234	enzyme regulator activity	507	12	9.77	0.98392	1	MF
GO:1990837	sequence-specific double-stranded DNA bi...	376	7	7.24	0.98526	1	MF
GO:0005215	transporter activity	770	10	14.83	0.98572	1	MF
GO:0019787	ubiquitin-like protein transferase activ...	343	3	6.61	0.98608	1	MF
GO:0005102	signaling receptor binding	893	36	17.2	0.98816	1	MF
GO:0008047	enzyme activator activity	275	3	5.3	0.98851	1	MF
GO:0008134	transcription factor binding	465	7	8.96	0.98925	1	MF
GO:0140110	transcription regulator activity	807	11	15.55	0.99071	1	MF
GO:0003677	DNA binding	853	13	16.43	0.99091	1	MF
GO:0004674	protein serine/threonine kinase activity	244	1	4.7	0.99191	1	MF
GO:0048037	cofactor binding	287	4	5.53	0.992	1	MF
GO:0000166	nucleotide binding	602	8	11.6	0.99236	1	MF
GO:0046872	metal ion binding	925	27	17.82	0.99307	1	MF
GO:0043167	ion binding	1773	48	34.16	0.99522	1	MF
GO:0003690	double-stranded DNA binding	445	7	8.57	0.99559	1	MF
GO:0005515	protein binding	4478	109	86.27	0.99597	1	MF
GO:0043168	anion binding	1065	25	20.52	0.99628	1	MF
GO:0003712	transcription coregulator activity	318	2	6.13	0.9968	1	MF
GO:0043169	cation binding	976	27	18.8	0.99704	1	MF
GO:0043565	sequence-specific DNA binding	469	7	9.04	0.99726	1	MF
GO:0004672	protein kinase activity	450	12	8.67	0.99792	1	MF
GO:0036094	small molecule binding	850	16	16.38	0.99881	1	MF
GO:0016887	ATPase activity	440	7	8.48	0.99885	1	MF
GO:0016773	phosphotransferase activity, alcohol gro...	545	13	10.5	0.99947	1	MF
GO:0005488	binding	6159	135	118.65	0.9997	1	MF
GO:0140096	catalytic activity, acting on a protein	1504	37	28.97	0.99973	1	MF
GO:0003723	RNA binding	740	6	14.26	0.99977	1	MF
GO:0016301	kinase activity	595	13	11.46	0.99979	1	MF
GO:0017111	nucleoside-triphosphatase activity	613	8	11.81	0.99995	1	MF
GO:0016462	pyrophosphatase activity	655	8	12.62	0.99998	1	MF
GO:0016772	transferase activity, transferring phosp...	745	13	14.35	0.99999	1	MF
GO:0003676	nucleic acid binding	1491	16	28.72	0.99999	1	MF
GO:1901363	heterocyclic compound binding	2148	25	41.38	1	1	MF
GO:0097159	organic cyclic compound binding	2180	25	42	1	1	MF
GO:0016740	transferase activity	1708	21	32.9	1	1	MF
GO:0003824	catalytic activity	4211	63	81.12	1	1	MF
GO:0061659	ubiquitin-like protein ligase activity	178	1	3.43	1	1	MF
GO:0008146	sulfotransferase activity	39	1	0.75	1	1	MF
GO:0015662	ATPase activity, coupled to transmembran...	26	1	0.5	1	1	MF
GO:0004197	cysteine-type endopeptidase activity	63	5	1.21	1	1	MF
GO:0019198	transmembrane receptor protein phosphata...	18	2	0.35	1	1	MF
GO:0019199	transmembrane receptor protein kinase ac...	102	10	1.97	1	1	MF
GO:0008525	phosphatidylcholine transporter activity	6	1	0.12	1	1	MF
GO:0050662	coenzyme binding	184	1	3.54	1	1	MF
GO:0022834	ligand-gated channel activity	101	2	1.95	1	1	MF
GO:0008528	G protein-coupled peptide receptor activ...	109	2	2.1	1	1	MF
GO:0072341	modified amino acid binding	56	2	1.08	1	1	MF
GO:0004602	glutathione peroxidase activity	11	1	0.21	1	1	MF
GO:0022836	gated channel activity	176	3	3.39	1	1	MF
GO:0030414	peptidase inhibitor activity	52	6	1	1	1	MF
GO:0022838	substrate-specific channel activity	237	5	4.57	1	1	MF
GO:0099094	ligand-gated cation channel activity	81	1	1.56	1	1	MF
GO:0022839	ion gated channel activity	172	2	3.31	1	1	MF
GO:0015036	disulfide oxidoreductase activity	47	3	0.91	1	1	MF
GO:0008988	rRNA (adenine-N6-)-methyltransferase act...	1	1	0.02	1	1	MF
GO:0005527	macrolide binding	8	1	0.15	1	1	MF
GO:0008516	hexose uniporter activity	2	1	0.04	1	1	MF
GO:0047498	calcium-dependent phospholipase A2 activ...	10	1	0.19	1	1	MF
GO:0047499	calcium-independent phospholipase A2 act...	8	1	0.15	1	1	MF
GO:0097493	structural molecule activity conferring ...	9	1	0.17	1	1	MF
GO:0043177	organic acid binding	154	1	2.97	1	1	MF
GO:0046624	sphingolipid transporter activity	12	1	0.23	1	1	MF
GO:0043178	alcohol binding	51	2	0.98	1	1	MF
GO:0046625	sphingolipid binding	21	1	0.4	1	1	MF
GO:0042056	chemoattractant activity	14	1	0.27	1	1	MF
GO:0031369	translation initiation factor binding	32	1	0.62	1	1	MF
GO:1901681	sulfur compound binding	155	13	2.99	1	1	MF
GO:0016705	oxidoreductase activity, acting on paire...	114	1	2.2	1	1	MF
GO:0008092	cytoskeletal protein binding	526	8	10.13	1	1	MF
GO:0005543	phospholipid binding	270	5	5.2	1	1	MF
GO:0016491	oxidoreductase activity	590	13	11.37	1	1	MF
GO:0035091	phosphatidylinositol binding	171	1	3.29	1	1	MF
GO:0101005	ubiquitinyl hydrolase activity	66	1	1.27	1	1	MF
GO:0005548	phospholipid transporter activity	75	1	1.44	1	1	MF
GO:0022803	passive transmembrane transporter activi...	240	5	4.62	1	1	MF
GO:0022804	active transmembrane transporter activit...	184	3	3.54	1	1	MF
GO:0001161	intronic transcription regulatory region...	11	3	0.21	1	1	MF
GO:0050431	transforming growth factor beta binding	10	1	0.19	1	1	MF
GO:0003705	transcription factor activity, RNA polym...	85	1	1.64	1	1	MF
GO:0052689	carboxylic ester hydrolase activity	98	3	1.89	1	1	MF
GO:0017171	serine hydrolase activity	95	4	1.83	1	1	MF
GO:0140098	catalytic activity, acting on RNA	391	1	7.53	1	1	MF
GO:0015238	drug transmembrane transporter activity	67	1	1.29	1	1	MF
GO:0016298	lipase activity	88	3	1.7	1	1	MF
GO:0140102	catalytic activity, acting on a rRNA	18	1	0.35	1	1	MF
GO:0061630	ubiquitin protein ligase activity	175	1	3.37	1	1	MF
GO:0001158	enhancer sequence-specific DNA binding	63	1	1.21	1	1	MF
GO:0004995	tachykinin receptor activity	29	1	0.56	1	1	MF
GO:0052813	phosphatidylinositol bisphosphate kinase...	40	5	0.77	1	1	MF
GO:0070492	oligosaccharide binding	13	1	0.25	1	1	MF
GO:0019783	ubiquitin-like protein-specific protease...	70	1	1.35	1	1	MF
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	93	2	1.79	1	1	MF
GO:0005496	steroid binding	44	1	0.85	1	1	MF
GO:0015631	tubulin binding	178	1	3.43	1	1	MF
GO:0042287	MHC protein binding	7	1	0.13	1	1	MF
GO:0008081	phosphoric diester hydrolase activity	56	1	1.08	1	1	MF
GO:0036122	BMP binding	5	1	0.1	1	1	MF
GO:0008083	growth factor activity	29	1	0.56	1	1	MF
GO:0004722	protein serine/threonine phosphatase act...	49	1	0.94	1	1	MF
GO:0004725	protein tyrosine phosphatase activity	58	2	1.12	1	1	MF
GO:1904399	heparan sulfate binding	2	1	0.04	1	1	MF
GO:0015399	primary active transmembrane transporter...	93	2	1.79	1	1	MF
GO:0016860	intramolecular oxidoreductase activity	54	2	1.04	1	1	MF
GO:0016864	intramolecular oxidoreductase activity, ...	18	2	0.35	1	1	MF
