gene1	gene2	relationship	orthogroup1	orthogroup2
Xesp_015334	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_001821	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025198	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025309	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_022578	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006733	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024143	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_025867	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Hvul_g26592_1	Hvul_g10001_1	inparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_028264	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006789	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006790	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_023371	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006345	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_022101	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006919	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006368	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_013410	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_026102	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_005943	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_005841	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_006792	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024173	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_024430	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_008847	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_018205	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_018020	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Xesp_004145	Hvul_g10001_1	outparalog_int	Myb.HG1.4:NA	Myb.HG1.4:NA
Spis_XP_022784076_1	Hvul_g10027_1	ortholog_int	zf-C2H2.HG5.10:PRDM9	zf-C2H2.HG5.10:PRDM9
Hvul_g28716_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23306_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g19780_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g22893_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g5268_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g31605_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23727_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g9116_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g19594_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g22758_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g237_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g31746_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g14169_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g14811_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g12657_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g17520_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g12367_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g29895_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g9470_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g13082_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g30331_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g29488_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23414_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g29773_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Xesp_006617	Hvul_g10184_1	outparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g1206_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g16720_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g2016_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g27864_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g17501_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g13480_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g12300_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g24131_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g21310_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g24507_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g19240_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g30603_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g28250_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23179_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g26595_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g21857_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23248_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g23971_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g27480_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g20522_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g20344_1	Hvul_g10184_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g33596_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g14817_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g24444_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g22794_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g19767_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g5749_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g6341_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g15875_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g3488_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g2707_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g31814_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g19488_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g25845_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g2835_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g20787_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g28708_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g8943_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g12525_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g11198_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g18517_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g2599_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g21121_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g11151_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g29630_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g11541_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g11491_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g3881_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g8104_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g21256_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g14138_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g5790_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Hvul_g1991_1	Hvul_g10248_1	inparalog_int	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12	zf-BED.HG1.1:like:ZBED1/ZBED2/ZBED3/ZBED4/ZBED6:likeclu:6/8/11/12
Xesp_007816	Hvul_g10379_1	ortholog_int	Homeodomains.HG1.27:LIM_LHX6/LIM_LHX8	Homeodomains.HG1.27:LIM_LHX6/LIM_LHX8
Hvul_g23296_1	Hvul_g10424_1	inparalog_int	Homeodomains.HG9.0:POU_POU6F1/POU_POU6F2	Homeodomains.HG9.0:POU_POU6F1/POU_POU6F2
Nvec_v1g97222	Hvul_g10457_1	ortholog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Spis_XP_022799621_1	Hvul_g10457_1	ortholog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Hvul_g1850_1	Hvul_g10457_1	inparalog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Xesp_008140	Hvul_g10457_1	ortholog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Hvul_g1843_1	Hvul_g10457_1	inparalog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Hvul_g1858_1	Hvul_g10457_1	inparalog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Hvul_g1836_1	Hvul_g10457_1	inparalog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Hvul_g7008_1	Hvul_g10457_1	inparalog_int	HMGbox_Sox.HG1.8:SOX30	HMGbox_Sox.HG1.8:SOX30
Xesp_014349	Hvul_g10536_1	ortholog_int	HLH.HG3.4:MITF/TFE3/TFEB/TFEC	HLH.HG3.4:MITF/TFE3/TFEB/TFEC
Xesp_003371	Hvul_g10604_1	outparalog_int	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG
Hvul_g16442_1	Hvul_g10604_1	inparalog_int	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG
Nvec_v1g114346	Hvul_g10604_1	outparalog_int	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG
Spis_XP_022808499_1	Hvul_g10604_1	outparalog_int	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP.HG1.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG
Hvul_g24131_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g6607_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g30331_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g17501_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g5268_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g13480_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g9116_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g26595_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g28250_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g21535_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g10184_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g29488_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g19780_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g30603_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g6438_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g29895_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g7073_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g21310_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g17520_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
Hvul_g21857_1	Hvul_g10608_1	inparalog_int	Pipsqueak.HG1.12:NA	Pipsqueak.HG1.12:NA
