Hvul_g10365_1	Xesp_008452
Hvul_g9528_1	Xesp_021903
Hvul_g12692_1	Xesp_021720
Hvul_g19157_1	Xesp_011989
Hvul_g19157_1	Xesp_011993
Hvul_g31062_1	Xesp_000921
Hvul_g17829_1	Xesp_017441
Hvul_g6131_1	Xesp_017441
Hvul_g17837_1	Xesp_017441
Hvul_g17835_1	Xesp_017441
Hvul_g28380_1	Xesp_017441
Hvul_g17842_1	Xesp_017441
Hvul_g67_1	Xesp_021098
Hvul_g6131_1	Xesp_020903
Hvul_g20083_1	Xesp_020903
Hvul_g17837_1	Xesp_020903
Hvul_g17835_1	Xesp_020903
Hvul_g17829_1	Xesp_020903
Hvul_g17842_1	Xesp_020903
Hvul_g7513_1	Xesp_020903
Hvul_g6132_1	Xesp_020903
Hvul_g19672_1	Xesp_020903
Hvul_g28813_1	Xesp_020903
Hvul_g28821_1	Xesp_020903
Hvul_g68_1	Xesp_020903
Hvul_g17829_1	Xesp_001784
Hvul_g6131_1	Xesp_001784
Hvul_g17837_1	Xesp_001784
Hvul_g17835_1	Xesp_001784
Hvul_g20083_1	Xesp_001784
Hvul_g17842_1	Xesp_001784
Hvul_g28824_1	Xesp_014796
Hvul_g7513_1	Xesp_024186
Hvul_g17829_1	Xesp_017477
Hvul_g6131_1	Xesp_017477
Hvul_g17837_1	Xesp_017477
Hvul_g17835_1	Xesp_017477
Hvul_g28380_1	Xesp_017477
Hvul_g17842_1	Xesp_017477
Hvul_g66_1	Xesp_014920
Hvul_g15440_1	Xesp_021219
Hvul_g17829_1	Xesp_021162
Hvul_g17837_1	Xesp_021162
Hvul_g68_1	Xesp_021162
Hvul_g28380_1	Xesp_021162
Hvul_g17829_1	Xesp_001826
Hvul_g6131_1	Xesp_001826
Hvul_g17837_1	Xesp_001826
Hvul_g17835_1	Xesp_001826
Hvul_g20083_1	Xesp_001826
Hvul_g17842_1	Xesp_001826
Hvul_g28380_1	Xesp_021120
Hvul_g67_1	Xesp_014922
Hvul_g17829_1	Xesp_014919
Hvul_g6131_1	Xesp_014919
Hvul_g17837_1	Xesp_014919
Hvul_g17835_1	Xesp_014919
Hvul_g20083_1	Xesp_014919
Hvul_g17842_1	Xesp_014919
Hvul_g7513_1	Xesp_014919
Hvul_g66_1	Xesp_014919
Hvul_g7513_1	Xesp_020806
Hvul_g68_1	Xesp_021122
Hvul_g28380_1	Xesp_021122
Hvul_g28824_1	Xesp_021122
Hvul_g6131_1	Xesp_001827
Hvul_g68_1	Xesp_001827
Hvul_g15440_1	Xesp_021154
Hvul_g15440_1	Xesp_021156
Hvul_g28383_1	Xesp_021154
Hvul_g28383_1	Xesp_021156
Hvul_g20083_1	Xesp_020827
Hvul_g7513_1	Xesp_020827
Hvul_g7513_1	Xesp_021161
Hvul_g17829_1	Xesp_001804
Hvul_g6131_1	Xesp_001804
Hvul_g17837_1	Xesp_001804
Hvul_g17835_1	Xesp_001804
Hvul_g20083_1	Xesp_001804
Hvul_g17842_1	Xesp_001804
Hvul_g28380_1	Xesp_021121
Hvul_g25859_1	Xesp_001968
Hvul_g16060_1	Xesp_018732
Hvul_g14595_1	Xesp_025039
Hvul_g7866_1	Xesp_001045
Hvul_g33277_1	Xesp_012132
Hvul_g3930_1	Xesp_003438
Hvul_g21688_1	Xesp_000771
Hvul_g27912_1	Xesp_012603
Hvul_g24061_1	Xesp_012608
Hvul_g28069_1	Xesp_021455
Hvul_g28069_1	Xesp_021444
Hvul_g8481_1	Xesp_011755
Hvul_g18911_1	Xesp_014845
Hvul_g6446_1	Xesp_005700
Hvul_g14234_1	Xesp_021263
Hvul_g14234_1	Xesp_021262
Hvul_g17912_1	Xesp_003596
Hvul_g17912_1	Xesp_003938
Hvul_g17912_1	Xesp_001856
Hvul_g6304_1	Xesp_013919
Hvul_g6305_1	Xesp_013919
Hvul_g29856_1	Xesp_004930
Hvul_g3697_1	Xesp_003789
Hvul_g3697_1	Xesp_003710
Hvul_g15396_1	Xesp_015975
Hvul_g12533_1	Xesp_000566
Hvul_g8012_1	Xesp_000566
Hvul_g16327_1	Xesp_012258
Hvul_g9738_1	Xesp_002088
Hvul_g16869_1	Xesp_020658
Hvul_g26877_1	Xesp_011456
Hvul_g8135_1	Xesp_008024
Hvul_g8319_1	Xesp_018444
Hvul_g10375_1	Xesp_003286
Hvul_g26421_1	Xesp_003286
Hvul_g15647_1	Xesp_003286
Hvul_g22311_1	Xesp_003286
Hvul_g25175_1	Xesp_021604
Hvul_g10119_1	Xesp_012087
Hvul_g15456_1	Xesp_013898
Hvul_g13544_1	Xesp_000293
Hvul_g24038_1	Xesp_016488
Hvul_g7638_1	Xesp_012761
Hvul_g33146_1	Xesp_006828
Hvul_g25259_1	Xesp_006828
Hvul_g16649_1	Xesp_006828
Hvul_g33141_1	Xesp_006828
Hvul_g17961_1	Xesp_006828
Hvul_g17970_1	Xesp_006828
Hvul_g1960_1	Xesp_004502
Hvul_g30872_1	Xesp_012865
Hvul_g22248_1	Xesp_016009
Hvul_g19343_1	Xesp_014040
Hvul_g5303_1	Xesp_014040
Hvul_g3619_1	Xesp_012843
Hvul_g16072_1	Xesp_015999
Hvul_g14055_1	Xesp_002744
Hvul_g14055_1	Xesp_002673
Hvul_g14054_1	Xesp_002744
Hvul_g14054_1	Xesp_002673
Hvul_g30595_1	Xesp_011819
Hvul_g12137_1	Xesp_011819
Hvul_g8282_1	Xesp_011819
Hvul_g31866_1	Xesp_000404
Hvul_g32287_1	Xesp_012020
Hvul_g5943_1	Xesp_007864
Hvul_g24039_1	Xesp_015889
Hvul_g8394_1	Xesp_014373
Hvul_g8394_1	Xesp_014372
Hvul_g29222_1	Xesp_016158
Hvul_g4764_1	Xesp_023243
Hvul_g9463_1	Xesp_023243
Hvul_g14885_1	Xesp_018350
Hvul_g25541_1	Xesp_018350
Hvul_g18801_1	Xesp_018350
Hvul_g4139_1	Xesp_018350
Hvul_g4141_1	Xesp_018350
Hvul_g71_1	Xesp_018350
Hvul_g27810_1	Xesp_018350
Hvul_g13893_1	Xesp_018350
Hvul_g3954_1	Xesp_018350
Hvul_g6365_1	Xesp_018350
Hvul_g17032_1	Xesp_018350
Hvul_g2754_1	Xesp_018350
Hvul_g26631_1	Xesp_018350
Hvul_g13495_1	Xesp_018350
Hvul_g11361_1	Xesp_018350
Hvul_g22110_1	Xesp_018350
Hvul_g20726_1	Xesp_018350
Hvul_g791_1	Xesp_018350
Hvul_g2893_1	Xesp_018350
Hvul_g22949_1	Xesp_018350
Hvul_g17955_1	Xesp_018350
Hvul_g14885_1	Xesp_018353
Hvul_g25541_1	Xesp_018353
Hvul_g18801_1	Xesp_018353
Hvul_g4139_1	Xesp_018353
Hvul_g4141_1	Xesp_018353
Hvul_g71_1	Xesp_018353
Hvul_g27810_1	Xesp_018353
Hvul_g13893_1	Xesp_018353
Hvul_g3954_1	Xesp_018353
Hvul_g6365_1	Xesp_018353
Hvul_g17032_1	Xesp_018353
Hvul_g2754_1	Xesp_018353
Hvul_g26631_1	Xesp_018353
Hvul_g13495_1	Xesp_018353
Hvul_g11361_1	Xesp_018353
Hvul_g791_1	Xesp_018353
Hvul_g2893_1	Xesp_018353
Hvul_g22110_1	Xesp_018353
Hvul_g22949_1	Xesp_018353
Hvul_g17955_1	Xesp_018353
Hvul_g20727_1	Xesp_018353
Hvul_g20726_1	Xesp_018353
Hvul_g22110_1	Xesp_018352
Hvul_g14885_1	Xesp_018352
Hvul_g13893_1	Xesp_018352
Hvul_g27810_1	Xesp_018352
Hvul_g6365_1	Xesp_018352
Hvul_g17032_1	Xesp_024600
Hvul_g17032_1	Xesp_024581
Hvul_g14885_1	Xesp_024600
Hvul_g14885_1	Xesp_024581
Hvul_g22110_1	Xesp_024600
Hvul_g22110_1	Xesp_024581
Hvul_g3954_1	Xesp_024600
Hvul_g3954_1	Xesp_024581
Hvul_g27810_1	Xesp_024600
Hvul_g27810_1	Xesp_024581
Hvul_g20727_1	Xesp_000873
Hvul_g14885_1	Xesp_024583
Hvul_g14885_1	Xesp_024601
Hvul_g13893_1	Xesp_024583
Hvul_g13893_1	Xesp_024601
Hvul_g4139_1	Xesp_024583
Hvul_g4141_1	Xesp_024583
Hvul_g4139_1	Xesp_024601
Hvul_g4141_1	Xesp_024601
Hvul_g18801_1	Xesp_024583
Hvul_g18801_1	Xesp_024601
Hvul_g71_1	Xesp_024583
Hvul_g71_1	Xesp_024601
Hvul_g3954_1	Xesp_024583
Hvul_g3954_1	Xesp_024601
Hvul_g11361_1	Xesp_024583
Hvul_g11361_1	Xesp_024601
Hvul_g17032_1	Xesp_024583
Hvul_g17032_1	Xesp_024601
Hvul_g26631_1	Xesp_024583
Hvul_g26631_1	Xesp_024601
Hvul_g13495_1	Xesp_024583
Hvul_g13495_1	Xesp_024601
Hvul_g2754_1	Xesp_024583
Hvul_g2754_1	Xesp_024601
Hvul_g25541_1	Xesp_024583
Hvul_g25541_1	Xesp_024601
Hvul_g791_1	Xesp_024583
Hvul_g791_1	Xesp_024601
Hvul_g6365_1	Xesp_024583
Hvul_g6365_1	Xesp_024601
Hvul_g22110_1	Xesp_024583
Hvul_g22110_1	Xesp_024601
Hvul_g22949_1	Xesp_024583
Hvul_g22949_1	Xesp_024601
Hvul_g17955_1	Xesp_024583
Hvul_g17955_1	Xesp_024601
Hvul_g27810_1	Xesp_024583
Hvul_g27810_1	Xesp_024601
Hvul_g20727_1	Xesp_024583
Hvul_g20727_1	Xesp_024601
Hvul_g20726_1	Xesp_024583
Hvul_g20726_1	Xesp_024601
Hvul_g17032_1	Xesp_018351
Hvul_g2754_1	Xesp_018351
Hvul_g14885_1	Xesp_018351
Hvul_g26631_1	Xesp_018351
Hvul_g13495_1	Xesp_018351
Hvul_g14885_1	Xesp_000874
Hvul_g25541_1	Xesp_000874
Hvul_g18801_1	Xesp_000874
Hvul_g4139_1	Xesp_000874
Hvul_g4141_1	Xesp_000874
Hvul_g71_1	Xesp_000874
Hvul_g27810_1	Xesp_000874
Hvul_g13893_1	Xesp_000874
Hvul_g3954_1	Xesp_000874
Hvul_g6365_1	Xesp_000874
Hvul_g17032_1	Xesp_000874
Hvul_g2754_1	Xesp_000874
Hvul_g26631_1	Xesp_000874
Hvul_g13495_1	Xesp_000874
Hvul_g11361_1	Xesp_000874
Hvul_g791_1	Xesp_000874
Hvul_g2893_1	Xesp_000874
Hvul_g22110_1	Xesp_000874
Hvul_g22949_1	Xesp_000874
Hvul_g13492_1	Xesp_000874
Hvul_g17955_1	Xesp_000874
Hvul_g17032_1	Xesp_024599
Hvul_g17032_1	Xesp_024580
Hvul_g14885_1	Xesp_024599
Hvul_g14885_1	Xesp_024580
Hvul_g18801_1	Xesp_024599
Hvul_g18801_1	Xesp_024580
Hvul_g26631_1	Xesp_024599
Hvul_g26631_1	Xesp_024580
Hvul_g13495_1	Xesp_024599
Hvul_g13495_1	Xesp_024580
Hvul_g14885_1	Xesp_021340
Hvul_g25541_1	Xesp_021340
Hvul_g18801_1	Xesp_021340
Hvul_g4139_1	Xesp_021340
Hvul_g4141_1	Xesp_021340
Hvul_g71_1	Xesp_021340
Hvul_g27810_1	Xesp_021340
Hvul_g13893_1	Xesp_021340
Hvul_g3954_1	Xesp_021340
Hvul_g6365_1	Xesp_021340
Hvul_g17032_1	Xesp_021340
Hvul_g2754_1	Xesp_021340
Hvul_g26631_1	Xesp_021340
Hvul_g13495_1	Xesp_021340
Hvul_g11361_1	Xesp_021340
Hvul_g791_1	Xesp_021340
Hvul_g2893_1	Xesp_021340
Hvul_g22110_1	Xesp_021340
Hvul_g22949_1	Xesp_021340
Hvul_g13492_1	Xesp_021340
Hvul_g17955_1	Xesp_021340
Hvul_g20727_1	Xesp_021340
Hvul_g14885_1	Xesp_016215
Hvul_g25541_1	Xesp_016215
Hvul_g18801_1	Xesp_016215
Hvul_g4139_1	Xesp_016215
Hvul_g4141_1	Xesp_016215
Hvul_g71_1	Xesp_016215
Hvul_g27810_1	Xesp_016215
Hvul_g6365_1	Xesp_016215
Hvul_g17032_1	Xesp_016215
Hvul_g2754_1	Xesp_016215
Hvul_g26631_1	Xesp_016215
Hvul_g13495_1	Xesp_016215
Hvul_g3954_1	Xesp_016215
Hvul_g20727_1	Xesp_016215
Hvul_g11361_1	Xesp_016215
Hvul_g22110_1	Xesp_016215
Hvul_g17955_1	Xesp_016215
Hvul_g791_1	Xesp_016215
Hvul_g14885_1	Xesp_016216
Hvul_g14885_1	Xesp_016218
Hvul_g25541_1	Xesp_016216
Hvul_g25541_1	Xesp_016218
Hvul_g18801_1	Xesp_016216
Hvul_g18801_1	Xesp_016218
Hvul_g4139_1	Xesp_016216
Hvul_g4141_1	Xesp_016216
Hvul_g4139_1	Xesp_016218
Hvul_g4141_1	Xesp_016218
Hvul_g71_1	Xesp_016216
Hvul_g71_1	Xesp_016218
Hvul_g27810_1	Xesp_016216
Hvul_g27810_1	Xesp_016218
Hvul_g13893_1	Xesp_016216
Hvul_g13893_1	Xesp_016218
Hvul_g3954_1	Xesp_016216
Hvul_g3954_1	Xesp_016218
Hvul_g6365_1	Xesp_016216
Hvul_g6365_1	Xesp_016218
Hvul_g17032_1	Xesp_016216
Hvul_g17032_1	Xesp_016218
Hvul_g2754_1	Xesp_016216
Hvul_g2754_1	Xesp_016218
Hvul_g26631_1	Xesp_016216
Hvul_g26631_1	Xesp_016218
Hvul_g13495_1	Xesp_016216
Hvul_g13495_1	Xesp_016218
Hvul_g11361_1	Xesp_016216
Hvul_g11361_1	Xesp_016218
Hvul_g791_1	Xesp_016216
Hvul_g791_1	Xesp_016218
Hvul_g22110_1	Xesp_016216
Hvul_g22110_1	Xesp_016218
Hvul_g22949_1	Xesp_016216
Hvul_g22949_1	Xesp_016218
Hvul_g17955_1	Xesp_016216
Hvul_g17955_1	Xesp_016218
Hvul_g20727_1	Xesp_016216
Hvul_g20727_1	Xesp_016218
Hvul_g20726_1	Xesp_016216
Hvul_g20726_1	Xesp_016218
Hvul_g9688_1	Xesp_015704
Hvul_g23280_1	Xesp_010156
Hvul_g9827_1	Xesp_010156
Hvul_g10896_1	Xesp_010156
Hvul_g1250_1	Xesp_010156
Hvul_g9306_1	Xesp_010156
Hvul_g20827_1	Xesp_002926
Hvul_g13456_1	Xesp_010157
Hvul_g25356_1	Xesp_018756
Hvul_g8601_1	Xesp_015836
Hvul_g27131_1	Xesp_015836
Hvul_g20944_1	Xesp_015836
Hvul_g10239_1	Xesp_015836
Hvul_g25110_1	Xesp_021450
Hvul_g9823_1	Xesp_009804
Hvul_g12600_1	Xesp_009804
Hvul_g9064_1	Xesp_009804
Hvul_g13601_1	Xesp_002925
Hvul_g30446_1	Xesp_023397
Hvul_g12600_1	Xesp_009799
Hvul_g9064_1	Xesp_009799
Hvul_g25749_1	Xesp_009799
Hvul_g3794_1	Xesp_022783
Hvul_g17905_1	Xesp_027229
Hvul_g8845_1	Xesp_027229
Hvul_g23280_1	Xesp_006051
Hvul_g14062_1	Xesp_006051
Hvul_g17110_1	Xesp_023701
Hvul_g17110_1	Xesp_023339
Hvul_g22451_1	Xesp_023701
Hvul_g22452_1	Xesp_023701
Hvul_g22451_1	Xesp_023339
Hvul_g22452_1	Xesp_023339
Hvul_g28301_1	Xesp_023701
Hvul_g28301_1	Xesp_023339
Hvul_g8086_1	Xesp_023701
Hvul_g8086_1	Xesp_023339
Hvul_g20944_1	Xesp_015835
Hvul_g10239_1	Xesp_015835
Hvul_g10589_1	Xesp_015835
Hvul_g14071_1	Xesp_015835
Hvul_g10236_1	Xesp_015835
Hvul_g23753_1	Xesp_021459
Hvul_g23753_1	Xesp_021451
Hvul_g20944_1	Xesp_021459
Hvul_g20944_1	Xesp_021451
Hvul_g30149_1	Xesp_021459
Hvul_g30149_1	Xesp_021451
Hvul_g31857_1	Xesp_021459
Hvul_g31857_1	Xesp_021451
Hvul_g25358_1	Xesp_021459
Hvul_g25358_1	Xesp_021451
Hvul_g23280_1	Xesp_010158
Hvul_g23752_1	Xesp_010158
Hvul_g9317_1	Xesp_010158
Hvul_g13212_1	Xesp_021684
Hvul_g6382_1	Xesp_021684
Hvul_g25356_1	Xesp_018771
Hvul_g6382_1	Xesp_021685
Hvul_g13212_1	Xesp_021685
Hvul_g30446_1	Xesp_021685
Hvul_g22451_1	Xesp_023732
Hvul_g22452_1	Xesp_023732
Hvul_g25207_1	Xesp_008296
Hvul_g10439_1	Xesp_008296
Hvul_g20824_1	Xesp_008296
Hvul_g20823_1	Xesp_008296
Hvul_g23280_1	Xesp_010159
Hvul_g20827_1	Xesp_002924
Hvul_g9317_1	Xesp_009686
Hvul_g9317_1	Xesp_009688
Hvul_g9317_1	Xesp_009691
Hvul_g9317_1	Xesp_009692
Hvul_g9317_1	Xesp_009694
Hvul_g14062_1	Xesp_002591
Hvul_g2555_1	Xesp_013934
Hvul_g32332_1	Xesp_013934
Hvul_g25358_1	Xesp_014646
Hvul_g8601_1	Xesp_002016
Hvul_g11872_1	Xesp_013651
Hvul_g10896_1	Xesp_010094
Hvul_g11607_1	Xesp_008298
Hvul_g30932_1	Xesp_021668
Hvul_g30933_1	Xesp_021668
Hvul_g5910_1	Xesp_008369
Hvul_g14954_1	Xesp_016412
Hvul_g20560_1	Xesp_011752
Hvul_g30263_1	Xesp_001272
Hvul_g6105_1	Xesp_012866
Hvul_g11581_1	Xesp_008796
Hvul_g11587_1	Xesp_008796
Hvul_g11581_1	Xesp_008795
Hvul_g11587_1	Xesp_008795
Hvul_g11581_1	Xesp_008794
Hvul_g11587_1	Xesp_008794
Hvul_g11581_1	Xesp_008797
Hvul_g11587_1	Xesp_008797
Hvul_g31695_1	Xesp_005743
Hvul_g15717_1	Xesp_005743
Hvul_g10102_1	Xesp_005949
Hvul_g10102_1	Xesp_005927
Hvul_g18571_1	Xesp_024834
Hvul_g26299_1	Xesp_012474
Hvul_g28806_1	Xesp_012474
Hvul_g26298_1	Xesp_012476
Hvul_g32362_1	Xesp_012013
Hvul_g29309_1	Xesp_011990
Hvul_g29309_1	Xesp_011994
Hvul_g1720_1	Xesp_007465
Hvul_g3448_1	Xesp_011873
Hvul_g3442_1	Xesp_011873
Hvul_g17179_1	Xesp_015852
Hvul_g19394_1	Xesp_015852
Hvul_g11993_1	Xesp_015852
Hvul_g17184_1	Xesp_015852
Hvul_g31704_1	Xesp_015852
Hvul_g7398_1	Xesp_021683
Hvul_g1348_1	Xesp_002625
Hvul_g8638_1	Xesp_002463
Hvul_g2937_1	Xesp_005985
Hvul_g33102_1	Xesp_005985
Hvul_g12339_1	Xesp_005985
Hvul_g2934_1	Xesp_005985
Hvul_g19320_1	Xesp_005985
Hvul_g19321_1	Xesp_005985
Hvul_g33102_1	Xesp_005968
Hvul_g2934_1	Xesp_005968
Hvul_g2937_1	Xesp_028479
Hvul_g2934_1	Xesp_028479
Hvul_g33106_1	Xesp_028479
Hvul_g33102_1	Xesp_028479
Hvul_g13587_1	Xesp_028479
Hvul_g12339_1	Xesp_028479
Hvul_g21479_1	Xesp_028479
Hvul_g14485_1	Xesp_028479
Hvul_g14486_1	Xesp_028479
Hvul_g691_1	Xesp_010986
Hvul_g241_1	Xesp_010986
Hvul_g242_1	Xesp_010986
Hvul_g682_1	Xesp_008619
Hvul_g22140_1	Xesp_008619
Hvul_g21479_1	Xesp_010998
Hvul_g14485_1	Xesp_010998
Hvul_g14486_1	Xesp_010998
Hvul_g13712_1	Xesp_022230
Hvul_g13700_1	Xesp_022230
Hvul_g10458_1	Xesp_015957
Hvul_g33102_1	Xesp_015957
Hvul_g25157_1	Xesp_022172
Hvul_g587_1	Xesp_022172
Hvul_g25158_1	Xesp_022172
Hvul_g25161_1	Xesp_022172
Hvul_g691_1	Xesp_022172
Hvul_g589_1	Xesp_022217
Hvul_g25157_1	Xesp_022209
Hvul_g587_1	Xesp_022209
Hvul_g25158_1	Xesp_022209
Hvul_g25161_1	Xesp_022209
Hvul_g13585_1	Xesp_015956
Hvul_g13712_1	Xesp_015956
Hvul_g13700_1	Xesp_015956
Hvul_g691_1	Xesp_012202
Hvul_g1741_1	Xesp_012202
Hvul_g13701_1	Xesp_012202
Hvul_g2937_1	Xesp_004082
Hvul_g13587_1	Xesp_004082
Hvul_g2934_1	Xesp_004082
Hvul_g12339_1	Xesp_004082
Hvul_g12339_1	Xesp_022302
Hvul_g13700_1	Xesp_022302
Hvul_g13698_1	Xesp_022302
Hvul_g13701_1	Xesp_022302
Hvul_g2137_1	Xesp_022302
Hvul_g10458_1	Xesp_022302
Hvul_g2937_1	Xesp_022302
Hvul_g13585_1	Xesp_022302
Hvul_g18779_1	Xesp_020412
Hvul_g15674_1	Xesp_008440
Hvul_g10483_1	Xesp_010988
Hvul_g10483_1	Xesp_028474
Hvul_g687_1	Xesp_010988
Hvul_g687_1	Xesp_028474
Hvul_g33102_1	Xesp_010988
Hvul_g33102_1	Xesp_028474
Hvul_g682_1	Xesp_010988
Hvul_g682_1	Xesp_028474
Hvul_g691_1	Xesp_010988
Hvul_g691_1	Xesp_028474
Hvul_g241_1	Xesp_010988
Hvul_g242_1	Xesp_010988
Hvul_g241_1	Xesp_028474
Hvul_g242_1	Xesp_028474
Hvul_g14485_1	Xesp_010988
Hvul_g14486_1	Xesp_010988
Hvul_g14485_1	Xesp_028474
Hvul_g14486_1	Xesp_028474
Hvul_g691_1	Xesp_010993
Hvul_g241_1	Xesp_010993
Hvul_g242_1	Xesp_010993
Hvul_g21479_1	Xesp_010993
Hvul_g14485_1	Xesp_010993
Hvul_g14486_1	Xesp_010993
Hvul_g10458_1	Xesp_010993
Hvul_g2937_1	Xesp_010993
Hvul_g33102_1	Xesp_010993
Hvul_g13587_1	Xesp_010993
Hvul_g12339_1	Xesp_010993
Hvul_g2934_1	Xesp_010993
Hvul_g21485_1	Xesp_001557
Hvul_g21485_1	Xesp_001531
Hvul_g13712_1	Xesp_003124
Hvul_g13700_1	Xesp_003124
Hvul_g21479_1	Xesp_005966
Hvul_g33102_1	Xesp_005966
Hvul_g2934_1	Xesp_005966
Hvul_g4676_1	Xesp_000784
Hvul_g4678_1	Xesp_000784
Hvul_g24136_1	Xesp_000784
Hvul_g24138_1	Xesp_000784
Hvul_g13700_1	Xesp_000784
Hvul_g691_1	Xesp_005965
Hvul_g241_1	Xesp_005965
Hvul_g242_1	Xesp_005965
Hvul_g21479_1	Xesp_005965
Hvul_g33102_1	Xesp_005965
Hvul_g2934_1	Xesp_005965
Hvul_g14485_1	Xesp_005965
Hvul_g14486_1	Xesp_005965
Hvul_g21479_1	Xesp_010983
Hvul_g14485_1	Xesp_010983
Hvul_g14486_1	Xesp_010983
Hvul_g29410_1	Xesp_008651
Hvul_g472_1	Xesp_008651
Hvul_g589_1	Xesp_008651
Hvul_g25158_1	Xesp_008651
Hvul_g587_1	Xesp_008651
Hvul_g21485_1	Xesp_008651
Hvul_g25157_1	Xesp_008651
Hvul_g22140_1	Xesp_008651
Hvul_g18779_1	Xesp_008651
Hvul_g19321_1	Xesp_008651
Hvul_g682_1	Xesp_008651
Hvul_g691_1	Xesp_008651
Hvul_g687_1	Xesp_008651
Hvul_g10483_1	Xesp_008651
Hvul_g1742_1	Xesp_008651
