Xesp_008452	Spis_XP_022783009_1
Xesp_021156	Spis_XP_022808516_1
Xesp_021154	Spis_XP_022808519_1
Xesp_021156	Spis_XP_022808519_1
Xesp_021161	Spis_XP_022798766_1
Xesp_021161	Spis5604_1
Xesp_021161	Spis_XP_022808515_1
Xesp_001804	Spis_XP_022806507_1
Xesp_001804	Spis_XP_022802517_1
Xesp_001804	Spis5604_1
Xesp_001804	Spis_XP_022808515_1
Xesp_001804	Spis_XP_022798766_1
Xesp_001804	Spis_XP_022808516_1
Xesp_001804	Spis_XP_022795055_1
Xesp_021121	Spis_XP_022808516_1
Xesp_001968	Spis_XP_022794164_1
Xesp_018732	Spis_XP_022802674_1
Xesp_000368	Spis_XP_022779784_1
Xesp_025039	Spis_XP_022795144_1
Xesp_001045	Spis_XP_022792380_1
Xesp_012132	Spis_XP_022807175_1
Xesp_003438	Spis_XP_022797488_1
Xesp_007837	Spis_XP_022803146_1
Xesp_000771	Spis_XP_022798154_1
Xesp_012603	Spis_XP_022800975_1
Xesp_020452	Spis_XP_022796150_1
Xesp_012608	Spis_XP_022788788_1
Xesp_021455	Spis_XP_022794636_1
Xesp_021444	Spis_XP_022794636_1
Xesp_011755	Spis_XP_022799400_1
Xesp_014845	Spis_XP_022805773_1
Xesp_005700	Spis_XP_022791765_1
Xesp_021263	Spis_XP_022788320_1
Xesp_021262	Spis_XP_022788320_1
Xesp_008373	Spis_XP_022786551_1
Xesp_003596	Spis_XP_022806466_1
Xesp_003938	Spis_XP_022806466_1
Xesp_001856	Spis_XP_022806466_1
Xesp_013919	Spis_XP_022784704_1
Xesp_013919	Spis_XP_022784665_1
Xesp_004930	Spis_XP_022785815_1
Xesp_011962	Spis_XP_022789459_1
Xesp_003789	Spis_XP_022801816_1
Xesp_003710	Spis_XP_022801816_1
Xesp_015975	Spis_XP_022783368_1
Xesp_000566	Spis_XP_022783072_1
Xesp_012258	Spis_XP_022809343_1
Xesp_020684	Spis_XP_022797677_1
Xesp_002088	Spis_XP_022788478_1
Xesp_020658	Spis_XP_022784074_1
Xesp_011456	Spis_XP_022805490_1
Xesp_005135	Spis_XP_022780539_1
Xesp_005136	Spis_XP_022780539_1
Xesp_008024	Spis_XP_022782799_1
Xesp_018444	Spis_XP_022799860_1
Xesp_003286	Spis_XP_022802237_1
Xesp_002288	Spis_XP_022795185_1
Xesp_021604	Spis_XP_022804366_1
Xesp_012087	Spis_XP_022808307_1
Xesp_012087	Spis_XP_022810393_1
Xesp_012087	Spis_XP_022810397_1
Xesp_013898	Spis_XP_022784706_1
Xesp_015420	Spis_XP_022800453_1
Xesp_000293	Spis_XP_022798113_1
Xesp_016488	Spis_XP_022783824_1
Xesp_012761	Spis_XP_022793494_1
Xesp_007773	Spis_XP_022791945_1
Xesp_007773	Spis_XP_022791944_1
Xesp_009770	Spis_XP_022805229_1
Xesp_009771	Spis_XP_022805229_1
Xesp_009772	Spis_XP_022805229_1
Xesp_009773	Spis_XP_022805229_1
Xesp_009770	Spis_XP_022805227_1
Xesp_009771	Spis_XP_022805227_1
Xesp_009772	Spis_XP_022805227_1
Xesp_009773	Spis_XP_022805227_1
Xesp_009770	Spis_XP_022805226_1
Xesp_009771	Spis_XP_022805226_1
Xesp_009772	Spis_XP_022805226_1
Xesp_009773	Spis_XP_022805226_1
Xesp_009770	Spis_XP_022806677_1
Xesp_009771	Spis_XP_022806677_1
Xesp_009772	Spis_XP_022806677_1
Xesp_009773	Spis_XP_022806677_1
Xesp_009770	Spis_XP_022805224_1
Xesp_009771	Spis_XP_022805224_1
Xesp_009772	Spis_XP_022805224_1
Xesp_009773	Spis_XP_022805224_1
Xesp_009770	Spis_XP_022806679_1
Xesp_009771	Spis_XP_022806679_1
Xesp_009772	Spis_XP_022806679_1
Xesp_009773	Spis_XP_022806679_1
Xesp_009770	Spis_XP_022799698_1
Xesp_009771	Spis_XP_022799698_1
Xesp_009772	Spis_XP_022799698_1
Xesp_009773	Spis_XP_022799698_1
Xesp_009770	Spis_XP_022792515_1
Xesp_009771	Spis_XP_022792515_1
Xesp_009772	Spis_XP_022792515_1
Xesp_009773	Spis_XP_022792515_1
Xesp_009770	Spis_XP_022803491_1
Xesp_009771	Spis_XP_022803491_1
Xesp_009772	Spis_XP_022803491_1
Xesp_009773	Spis_XP_022803491_1
Xesp_009770	Spis_XP_022806676_1
Xesp_009771	Spis_XP_022806676_1
Xesp_009772	Spis_XP_022806676_1
Xesp_009773	Spis_XP_022806676_1
Xesp_009770	Spis_XP_022808086_1
Xesp_009771	Spis_XP_022808086_1
Xesp_009772	Spis_XP_022808086_1
Xesp_009773	Spis_XP_022808086_1
Xesp_009770	Spis_XP_022803502_1
Xesp_009771	Spis_XP_022803502_1
Xesp_009772	Spis_XP_022803502_1
Xesp_009773	Spis_XP_022803502_1
Xesp_009770	Spis_XP_022803514_1
Xesp_009771	Spis_XP_022803514_1
Xesp_009772	Spis_XP_022803514_1
Xesp_009773	Spis_XP_022803514_1
Xesp_007776	Spis_XP_022791945_1
Xesp_007775	Spis_XP_022791945_1
Xesp_007776	Spis_XP_022791944_1
Xesp_007775	Spis_XP_022791944_1
Xesp_016527	Spis_XP_022791945_1
Xesp_016528	Spis_XP_022791945_1
Xesp_016527	Spis_XP_022802955_1
Xesp_016528	Spis_XP_022802955_1
Xesp_016527	Spis_XP_022803730_1
Xesp_016528	Spis_XP_022803730_1
Xesp_016527	Spis_XP_022791944_1
Xesp_016528	Spis_XP_022791944_1
Xesp_012723	Spis_XP_022791945_1
Xesp_012723	Spis_XP_022791944_1
Xesp_012723	Spis_XP_022788789_1
Xesp_017446	Spis_XP_022783901_1
Xesp_009957	Spis_XP_022805229_1
Xesp_009957	Spis_XP_022805227_1
Xesp_009957	Spis_XP_022805226_1
Xesp_009957	Spis_XP_022806677_1
Xesp_009957	Spis_XP_022805224_1
Xesp_009957	Spis_XP_022806679_1
Xesp_009957	Spis_XP_022799698_1
Xesp_009957	Spis_XP_022792515_1
Xesp_009957	Spis_XP_022803491_1
Xesp_009957	Spis_XP_022806676_1
Xesp_009957	Spis_XP_022808086_1
Xesp_009957	Spis_XP_022803502_1
Xesp_009957	Spis_XP_022803514_1
Xesp_009957	Spis_XP_022777806_1
Xesp_009956	Spis_XP_022805229_1
Xesp_009956	Spis_XP_022805227_1
Xesp_009956	Spis_XP_022805226_1
Xesp_009956	Spis_XP_022806677_1
Xesp_009956	Spis_XP_022805224_1
Xesp_009956	Spis_XP_022806679_1
Xesp_009956	Spis_XP_022799698_1
Xesp_009956	Spis_XP_022792515_1
Xesp_009956	Spis_XP_022803491_1
Xesp_009956	Spis_XP_022806676_1
Xesp_009956	Spis_XP_022808086_1
Xesp_009956	Spis_XP_022803502_1
Xesp_009956	Spis_XP_022803514_1
Xesp_014495	Spis_XP_022805229_1
Xesp_014495	Spis_XP_022805227_1
Xesp_014495	Spis_XP_022805226_1
Xesp_014495	Spis_XP_022806677_1
Xesp_014495	Spis_XP_022805224_1
Xesp_014495	Spis_XP_022806679_1
Xesp_014495	Spis_XP_022799698_1
Xesp_014495	Spis_XP_022792515_1
Xesp_014495	Spis_XP_022803491_1
Xesp_014495	Spis_XP_022806676_1
Xesp_014495	Spis_XP_022808086_1
Xesp_014495	Spis_XP_022803502_1
Xesp_014495	Spis_XP_022803514_1
Xesp_023495	Spis_XP_022791944_1
Xesp_023492	Spis_XP_022791944_1
Xesp_014894	Spis_XP_022788668_1
Xesp_017481	Spis_XP_022791944_1
Xesp_017481	Spis_XP_022803730_1
Xesp_017736	Spis_XP_022803730_1
Xesp_017736	Spis_XP_022791945_1
Xesp_017736	Spis_XP_022802955_1
Xesp_017736	Spis_XP_022791944_1
Xesp_017736	Spis_XP_022803723_1
Xesp_009960	Spis_XP_022805229_1
Xesp_009960	Spis_XP_022805227_1
Xesp_009960	Spis_XP_022805226_1
Xesp_009960	Spis_XP_022806677_1
Xesp_009960	Spis_XP_022805224_1
Xesp_009960	Spis_XP_022806679_1
Xesp_009960	Spis_XP_022799698_1
Xesp_009960	Spis_XP_022792515_1
Xesp_009960	Spis_XP_022803491_1
Xesp_009960	Spis_XP_022806676_1
Xesp_009960	Spis_XP_022808086_1
Xesp_009960	Spis_XP_022803502_1
Xesp_009960	Spis_XP_022803514_1
Xesp_009954	Spis_XP_022805229_1
Xesp_009955	Spis_XP_022805229_1
Xesp_009952	Spis_XP_022805229_1
Xesp_009953	Spis_XP_022805229_1
Xesp_009954	Spis_XP_022805227_1
Xesp_009955	Spis_XP_022805227_1
Xesp_009952	Spis_XP_022805227_1
Xesp_009953	Spis_XP_022805227_1
Xesp_009954	Spis_XP_022805226_1
Xesp_009955	Spis_XP_022805226_1
Xesp_009952	Spis_XP_022805226_1
Xesp_009953	Spis_XP_022805226_1
Xesp_009954	Spis_XP_022806677_1
Xesp_009955	Spis_XP_022806677_1
Xesp_009952	Spis_XP_022806677_1
Xesp_009953	Spis_XP_022806677_1
Xesp_009954	Spis_XP_022805224_1
Xesp_009955	Spis_XP_022805224_1
Xesp_009952	Spis_XP_022805224_1
Xesp_009953	Spis_XP_022805224_1
Xesp_009954	Spis_XP_022806679_1
Xesp_009955	Spis_XP_022806679_1
Xesp_009952	Spis_XP_022806679_1
Xesp_009953	Spis_XP_022806679_1
Xesp_009954	Spis_XP_022799698_1
Xesp_009955	Spis_XP_022799698_1
Xesp_009952	Spis_XP_022799698_1
Xesp_009953	Spis_XP_022799698_1
Xesp_009954	Spis_XP_022792515_1
Xesp_009955	Spis_XP_022792515_1
Xesp_009952	Spis_XP_022792515_1
Xesp_009953	Spis_XP_022792515_1
Xesp_009954	Spis_XP_022803491_1
Xesp_009955	Spis_XP_022803491_1
Xesp_009952	Spis_XP_022803491_1
Xesp_009953	Spis_XP_022803491_1
Xesp_009954	Spis_XP_022806676_1
Xesp_009955	Spis_XP_022806676_1
Xesp_009952	Spis_XP_022806676_1
Xesp_009953	Spis_XP_022806676_1
Xesp_009954	Spis_XP_022808086_1
Xesp_009955	Spis_XP_022808086_1
Xesp_009952	Spis_XP_022808086_1
Xesp_009953	Spis_XP_022808086_1
Xesp_009954	Spis_XP_022803502_1
Xesp_009955	Spis_XP_022803502_1
Xesp_009952	Spis_XP_022803502_1
Xesp_009953	Spis_XP_022803502_1
Xesp_009954	Spis_XP_022803514_1
Xesp_009955	Spis_XP_022803514_1
Xesp_009952	Spis_XP_022803514_1
Xesp_009953	Spis_XP_022803514_1
Xesp_017381	Spis_XP_022803730_1
Xesp_017381	Spis_XP_022791945_1
Xesp_017381	Spis_XP_022791944_1
Xesp_017381	Spis_XP_022803723_1
Xesp_004502	Spis_XP_022787591_1
Xesp_012865	Spis_XP_022780148_1
Xesp_016009	Spis_XP_022800649_1
Xesp_004849	Spis_XP_022792128_1
Xesp_014035	Spis_XP_022792166_1
Xesp_014040	Spis_XP_022791087_1
Xesp_012843	Spis_XP_022789849_1
Xesp_015999	Spis_XP_022781157_1
Xesp_002744	Spis_XP_022806828_1
Xesp_002673	Spis_XP_022806828_1
Xesp_023470	Spis_XP_022805203_1
Xesp_023470	Spis_XP_022807489_1
Xesp_023470	Spis_XP_022778185_1
Xesp_023470	Spis_XP_022807490_1
Xesp_023470	Spis_XP_022810129_1
Xesp_023470	Spis_XP_022809786_1
Xesp_011819	Spis_XP_022777713_1
Xesp_002492	Spis_XP_022795009_1
Xesp_002489	Spis_XP_022795009_1
Xesp_002490	Spis_XP_022795009_1
Xesp_012020	Spis_XP_022788075_1
Xesp_007864	Spis_XP_022797650_1
Xesp_011008	Spis_XP_022804820_1
Xesp_015889	Spis_XP_022800947_1
Xesp_014373	Spis_XP_022795346_1
Xesp_014372	Spis_XP_022795346_1
Xesp_015927	Spis_XP_022787969_1
Xesp_016158	Spis_XP_022800728_1
Xesp_023243	Spis_XP_022784941_1
Xesp_018350	Spis_XP_022795751_1
Xesp_018350	Spis_XP_022795759_1
Xesp_018353	Spis_XP_022795751_1
Xesp_018353	Spis_XP_022795759_1
Xesp_024583	Spis_XP_022795751_1
Xesp_024601	Spis_XP_022795751_1
Xesp_024583	Spis_XP_022795759_1
Xesp_024601	Spis_XP_022795759_1
Xesp_000874	Spis_XP_022795751_1
Xesp_000874	Spis_XP_022795759_1
Xesp_021340	Spis_XP_022795751_1
Xesp_021340	Spis_XP_022795759_1
Xesp_016215	Spis_XP_022795759_1
Xesp_016216	Spis_XP_022795751_1
Xesp_016218	Spis_XP_022795751_1
Xesp_016216	Spis_XP_022795759_1
Xesp_016218	Spis_XP_022795759_1
Xesp_011309	Spis_XP_022794039_1
Xesp_015704	Spis_XP_022800325_1
Xesp_022959	Spis_XP_022787844_1
Xesp_022959	Spis_XP_022787864_1
Xesp_023708	Spis_XP_022803803_1
Xesp_028034	Spis_XP_022803808_1
Xesp_028034	Spis_XP_022803800_1
Xesp_018773	Spis_XP_022803797_1
Xesp_018773	Spis_XP_022803796_1
Xesp_018773	Spis_XP_022778829_1
Xesp_018773	Spis25590_1
Xesp_018773	Spis_XP_022803800_1
Xesp_018773	Spis_XP_022803808_1
Xesp_018773	Spis_XP_022803803_1
Xesp_018773	Spis_XP_022786843_1
Xesp_010156	Spis_XP_022803808_1
Xesp_010156	Spis25620_1
Xesp_002926	Spis_XP_022789729_1
Xesp_002926	Spis_XP_022804719_1
Xesp_010157	Spis_XP_022803797_1
Xesp_010157	Spis_XP_022778829_1
Xesp_010157	Spis25590_1
Xesp_010157	Spis20938_1
Xesp_010157	Spis24355_1
Xesp_023686	Spis_XP_022807798_1
Xesp_023686	Spis_XP_022799088_1
Xesp_023686	Spis_XP_022786843_1
Xesp_023686	Spis_XP_022807723_1
Xesp_018756	Spis_XP_022803808_1
Xesp_018756	Spis_XP_022777811_1
Xesp_018756	Spis_XP_022803797_1
Xesp_018756	Spis_XP_022803800_1
Xesp_018756	Spis_XP_022803803_1
Xesp_002019	Spis_XP_022807798_1
Xesp_002019	Spis_XP_022807949_1
Xesp_002019	Spis_XP_022810214_1
Xesp_002019	Spis_XP_022807720_1
Xesp_002019	Spis_XP_022799235_1
Xesp_021450	Spis_XP_022804937_1
Xesp_023398	Spis_XP_022803797_1
Xesp_023398	Spis_XP_022803796_1
Xesp_023398	Spis_XP_022799088_1
Xesp_023398	Spis_XP_022777811_1
Xesp_023398	Spis_XP_022785067_1
Xesp_023398	Spis_XP_022806479_1
Xesp_023398	Spis_XP_022803800_1
Xesp_009804	Spis_XP_022806021_1
Xesp_009593	Spis_XP_022808833_1
Xesp_002925	Spis_XP_022789729_1
Xesp_002925	Spis_XP_022804719_1
Xesp_003679	Spis_XP_022786065_1
Xesp_023397	Spis_XP_022803797_1
Xesp_023397	Spis_XP_022803796_1
Xesp_023397	Spis_XP_022805176_1
Xesp_023397	Spis_XP_022805182_1
Xesp_023397	Spis_XP_022777811_1
Xesp_023397	Spis_XP_022785067_1
Xesp_023397	Spis_XP_022806479_1
Xesp_023397	Spis_XP_022778829_1
Xesp_023397	Spis25590_1
Xesp_023397	Spis_XP_022786843_1
Xesp_023397	Spis_XP_022803800_1
Xesp_023397	Spis_XP_022799088_1
Xesp_023397	Spis_XP_022803803_1
Xesp_023397	Spis_XP_022803808_1
Xesp_023397	Spis_XP_022807723_1
Xesp_022783	Spis_XP_022797935_1
Xesp_022783	Spis20938_1
Xesp_022783	Spis22579_1
Xesp_022783	Spis24355_1
Xesp_022783	Spis25620_1
Xesp_023408	Spis_XP_022803797_1
Xesp_023408	Spis_XP_022803796_1
Xesp_023408	Spis_XP_022785067_1
Xesp_023408	Spis_XP_022806479_1
Xesp_023408	Spis_XP_022803808_1
Xesp_023408	Spis_XP_022803800_1
Xesp_023408	Spis_XP_022803803_1
Xesp_027229	Spis_XP_022790848_1
Xesp_027229	Spis_XP_022805900_1
Xesp_023690	Spis_XP_022799235_1
Xesp_023690	Spis_XP_022803796_1
Xesp_023690	Spis_XP_022777811_1
Xesp_023690	Spis_XP_022803797_1
Xesp_023690	Spis_XP_022785067_1
Xesp_023690	Spis_XP_022806479_1
Xesp_023690	Spis_XP_022807949_1
Xesp_006051	Spis_XP_022799088_1
Xesp_028042	Spis_XP_022803797_1
Xesp_028042	Spis_XP_022799088_1
Xesp_028042	Spis_XP_022803796_1
Xesp_028042	Spis_XP_022805182_1
Xesp_028042	Spis_XP_022785067_1
Xesp_028042	Spis_XP_022806479_1
Xesp_028042	Spis_XP_022778829_1
Xesp_028042	Spis25590_1
Xesp_028042	Spis_XP_022803803_1
Xesp_028042	Spis_XP_022803808_1
Xesp_028042	Spis_XP_022803800_1
Xesp_028106	Spis_XP_022797968_1
Xesp_028106	Spis_XP_022798020_1
Xesp_028106	Spis_XP_022798199_1
Xesp_028106	Spis_XP_022802224_1
Xesp_028106	Spis14382_1
Xesp_023701	Spis_XP_022786065_1
Xesp_023339	Spis_XP_022786065_1
Xesp_010095	Spis_XP_022803800_1
Xesp_010095	Spis20938_1
Xesp_021459	Spis_XP_022808510_1
Xesp_021451	Spis_XP_022808510_1
Xesp_021459	Spis_XP_022804937_1
Xesp_021451	Spis_XP_022804937_1
Xesp_021867	Spis_XP_022793148_1
Xesp_010158	Spis_XP_022808735_1
Xesp_010158	Spis24355_1
Xesp_010158	Spis_XP_022778829_1
Xesp_010158	Spis25590_1
Xesp_010158	Spis_XP_022786843_1
Xesp_010158	Spis_XP_022797777_1
Xesp_010158	Spis_XP_022805676_1
Xesp_010158	Spis25620_1
Xesp_024665	Spis_XP_022787844_1
Xesp_024665	Spis_XP_022787864_1
Xesp_021684	Spis_XP_022782987_1
Xesp_021684	Spis_XP_022796128_1
Xesp_003678	Spis_XP_022801549_1
Xesp_018771	Spis_XP_022805182_1
Xesp_018771	Spis_XP_022805170_1
Xesp_018771	Spis_XP_022808387_1
Xesp_018771	Spis_XP_022798020_1
Xesp_018771	Spis_XP_022798199_1
Xesp_018771	Spis_XP_022803808_1
Xesp_018771	Spis_XP_022803797_1
Xesp_018771	Spis_XP_022803800_1
Xesp_018771	Spis_XP_022803803_1
Xesp_028407	Spis_XP_022803800_1
Xesp_028407	Spis_XP_022799088_1
Xesp_028407	Spis_XP_022786843_1
Xesp_027729	Spis_XP_022787864_1
Xesp_028109	Spis_XP_022786843_1
Xesp_028109	Spis_XP_022785067_1
Xesp_028109	Spis_XP_022806479_1
Xesp_028109	Spis_XP_022803797_1
Xesp_028109	Spis_XP_022803800_1
Xesp_028109	Spis_XP_022803803_1
Xesp_024671	Spis_XP_022787864_1
Xesp_024671	Spis_XP_022787844_1
Xesp_008872	Spis_XP_022787864_1
Xesp_023685	Spis_XP_022803796_1
Xesp_023685	Spis_XP_022777811_1
Xesp_023685	Spis_XP_022803797_1
Xesp_023685	Spis_XP_022785067_1
Xesp_023685	Spis_XP_022806479_1
Xesp_023685	Spis_XP_022778829_1
Xesp_023685	Spis25590_1
Xesp_023685	Spis_XP_022803800_1
Xesp_023685	Spis_XP_022803808_1
Xesp_023685	Spis_XP_022803803_1
Xesp_023685	Spis_XP_022799088_1
Xesp_009693	Spis_XP_022803808_1
Xesp_009693	Spis_XP_022803797_1
Xesp_009693	Spis_XP_022803800_1
Xesp_009693	Spis_XP_022803803_1
Xesp_008296	Spis_XP_022809623_1
Xesp_022926	Spis_XP_022787864_1
Xesp_022926	Spis_XP_022787844_1
Xesp_028283	Spis_XP_022798020_1
Xesp_028251	Spis_XP_022798020_1
Xesp_023695	Spis_XP_022798020_1
Xesp_028392	Spis_XP_022798020_1
Xesp_025917	Spis_XP_022798020_1
Xesp_028404	Spis_XP_022798020_1
Xesp_010129	Spis_XP_022803796_1
Xesp_010129	Spis_XP_022803797_1
